longname,glot_fam,Longitude,Latitude
UA.NUMIC.TUMPISA,Uto-Aztecan,-117.0,37.0
Tun.TUNICA.TUNICA,Tunica,-91.0,32.67
Alt.TURKIC.TURKISH,Turkic,35.0,39.0
Alt.TURKIC.TURKISH_2,Turkic,35.0,39.0
May.MAYAN.TZOTZIL_HUIXTAN,Mayan,-92.5,16.35
May.MAYAN.TZOTZIL_SAN_ANDRES,Mayan,-92.5,16.35
May.MAYAN.TZOTZIL_VENUSTIANO_CARRANZA,Mayan,-92.5,16.35
An.CENTRAL_MALAYO_POLYNESIAN.UAB_METO,Austronesian,124.3,-9.4
An.OCEANIC.ULITHIAN,Austronesian,139.58,9.92
An.CELEBIC.UMA,Austronesian,120.0,-1.83
An.CENTRAL_MALAYO_POLYNESIAN.UMBU_RATU_NGGAI_KAMBERA,Austronesian,120.25,-9.75
Alg.ALGONQUIAN.UNAMI_UnnamedInSource,Algic,-75.17,40.0
TNG.DANI.UPPER_PYRAMID_DANI,Nuclear_Trans_New_Guinea,138.5,-4.33
AA.SEMITIC.URMI,Afro-Asiatic,45.07,37.56
Tup.TUPI_GUARANI.URUBU_KAAPOR,Tupian,-46.5,-2.33
UA.NUMIC.UTE_1,Uto-Aztecan,-109.0,39.0
UA.NUMIC.UTE_2,Uto-Aztecan,-109.0,39.0
UA.NUMIC.UTE_SOUTHERN_PAIUTE,Uto-Aztecan,-113.33,37.83
Brs.BURUSHASKI.UYUM_NAGAR_BURUSHASKI,Burushaski,74.5,36.5
Alt.TURKIC.UZBEK,Turkic,66.5,40.67
IE.ROMANCE.VALENCIAN,Indo-European,-0.38,39.47
Ura.FINNIC.VOTIC,Uralic,30.0,59.5
NC.BANTOID.VUMBA,Atlantic-Congo,39.0,-6.5
PN.WESTERN_PAMA_NYUNGAN.WALMAJARRI,Pama-Nyungan,125.75,-19.5
Mir.WAMBAYAN.WAMBAYA,Mirndi,135.75,-18.67
TNG.AWJU_DUMUT.WAMBON,Nuclear_Trans_New_Guinea,140.42,-5.5
IE.IRANIAN.WANA_PASHTO,Indo-European,69.57,32.3
PN.SOUTHEASTERN_PAMA_NYUNGAN.WANGAAYBUWAN_NGIYAMBAA,Pama-Nyungan,145.5,-31.75
PN.WESTERN_PAMA_NYUNGAN.WANGKA_WIRU,Pama-Nyungan,130.0,-26.0
TNG.MADANG.WANUMA,Nuclear_Trans_New_Guinea,145.17,-4.83
Wao.WAORANI.WAORANI,Waorani,-76.5,-1.0
War.WARAO.WARAO,Warao,-61.67,9.33
Yng.YANGMANIC.WARDAMAN,Yangmanic,131.0,-15.5
PN.NORTHERN_PAMA_NYUNGAN.WARGAMAY,Pama-Nyungan,146.08,-18.58
PN.WESTERN_PAMA_NYUNGAN.WARLPIRI,Pama-Nyungan,132.33,-20.0
An.LAMPUNGIC.WAY_KANAN_LAMPUNG_API,Austronesian,105.0,-5.0
An.LAMPUNGIC.WAY_LIMA_LAMPUNG_API,Austronesian,105.0,-5.0
IE.CELTIC.WELSH,Indo-European,-3.0,52.0
IE.ARMENIAN.WESTERN_ARMENIAN,Indo-European,43.5,38.5
PN.CENTRAL_PAMA_NYUNGAN.WESTERN_ARRERNTE,Pama-Nyungan,132.5,-24.0
May.MAYAN.WESTERN_QUICHE_MOMOSTENANGO,Mayan,-91.41,14.04
May.MAYAN.WESTERN_QUICHE_SANTA_CATARINA_IXTAHUACAN,Mayan,-91.36,14.8
May.MAYAN.WESTERN_QUICHE_TOTONICAPAN,Mayan,-91.36,14.91
EA.ESKIMO.WEST_GREENLANDIC,Eskimo-Aleut,-51.0,64.0
An.OCEANIC.WEST_KARA,Austronesian,151.12,-2.83
Cad.CADDOAN.WICHITA,Caddoan,-97.33,33.33
Cad.CADDOAN.WICHITA_2,Caddoan,-97.33,33.33
Mat.MATACOAN.WICHI_LHAMTES_GUISNAY,Matacoan,-62.58,-22.5
Sio.CORE_SIOUAN.WINNEBAGO,Siouan,-88.5,43.5
Alg.WIYOT.WIYOT,Algic,-124.17,40.83
An.CELEBIC.WOLIO,Austronesian,122.75,-5.5
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.WOSI,Austronesian,127.5,0.0
An.CENTRAL_MALAYO_POLYNESIAN.YAMDENA,Austronesian,131.5,-7.5
Hok.YANA.YANA,Yana,-122.0,40.5
Yan.YANOMAM.YANAM,Yanomamic,-62.83,3.5
Yan.YANOMAM.YANAM_2,Yanomamic,-62.83,3.5
PN.WESTERN_PAMA_NYUNGAN.YANYUWA,Pama-Nyungan,137.17,-16.42
An.YAPESE.YAPESE,Austronesian,138.17,9.58
UA.CAHITA.YAQUI,Uto-Aztecan,-110.25,27.5
UA.CAHITA.YAQUI_2,Uto-Aztecan,-110.25,27.5
Yel.YELE.YELETNYE,Yeli_Dnye,154.17,-11.37
PN.NORTHERN_PAMA_NYUNGAN.YIDINY,Pama-Nyungan,145.75,-17.0
Tor.WAPEI_PALEI.YIL,Nuclear_Torricelli,142.15,-3.53
LSR.LOWER_SEPIK.YIMAS,Lower_Sepik-Ramu,143.55,-4.67
LSR.LOWER_SEPIK.YIMAS_2,Lower_Sepik-Ramu,143.55,-4.67
PN.WESTERN_PAMA_NYUNGAN.YINDJIBARNDI,Pama-Nyungan,117.92,-21.75
Tor.WAPEI_PALEI.YIR,Nuclear_Torricelli,142.18,-3.47
An.JAVANESE.YOGYAKARTA,Austronesian,110.37,-7.81
Pen.YOKUTS.YOKUTS_TINLINNEH,Yokutsan,-119.08,36.08
Pen.YOKUTS.YOKUTS_UNKNOWN,Yokutsan,-119.08,36.08
PN.WESTERN_PAMA_NYUNGAN.YOLNGUMATHA,Pama-Nyungan,136.75,-12.67
Yuc.YUCHI.YUCHI,Yuchi,-86.75,35.75
PN.WESTERN_PAMA_NYUNGAN.YULPARIJA,Pama-Nyungan,124.0,-21.0
Hok.YUMAN.YUMA,Cochimi-Yuman,-114.33,32.83
EA.ESKIMO.YUPIK_CENTRAL_SIBERIAN_CHAPLINO,Eskimo-Aleut,-170.48,63.69
May.MAYAN.ZINACANTAN_TZOTZIL,Mayan,-92.5,16.35
NC.BANTOID.ZOOMBO_1,Atlantic-Congo,15.0,-5.0
NC.BANTOID.ZOOMBO_2,Atlantic-Congo,15.0,-5.0
NC.BANTOID.ZOOMBO_3,Atlantic-Congo,15.0,-5.0
NC.BANTOID.ZOOMBO_4,Atlantic-Congo,15.0,-5.0
NC.BANTOID.ZULU,Atlantic-Congo,30.0,-30.0
NC.BANTOID.ZULU_2,Atlantic-Congo,30.0,-30.0
NC.BANTOID.ZULU_NKANDLA,Atlantic-Congo,30.0,-30.0
Zun.ZUNI.ZUNI,Zuni,-108.83,35.08
