taxon,VS-VO,VS-PN,VS-NG,VS-NA,VS-ND,VS-NNum,VS-NRc,VO-PN,VO-NG,VO-NA,VO-ND,VO-NNum,VO-NRc,PN-NG,PN-NA,PN-ND,PN-NNum,PN-NRc,NG-NA,NG-ND,NG-NNum,NG-NRc,NA-ND,NA-NNum,NA-NRc,ND-NNum,ND-NRc,NNum-NRc
An.GREATER_CENTRAL_PHILIPPINE.MANOBO_WESTERN_BUKIDNON,d,d,d,c,c,-,-,d,d,c,c,-,-,d,c,c,-,-,c,c,-,-,a,-,-,-,-,-
Ura.UGRIC.MANSI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
An.RUKAI.MANTAURAN,d,d,d,-,c,c,-,d,d,-,c,c,-,d,-,c,c,-,-,c,c,-,-,-,-,a,-,-
An.RUKAI.MANTAURAN_RUKAI,d,d,d,-,c,c,-,d,d,-,c,c,-,d,-,c,c,-,-,c,c,-,-,-,-,a,-,-
An.OCEANIC.MAORI,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
Sep.MIDDLE_SEPIK.MAPRIK,a,a,a,a,a,b,b,a,a,a,a,b,b,a,a,a,b,b,a,a,b,b,a,b,b,b,b,d
Arc.ARAUCANIAN.MAPUDUNGUN,d,-,c,c,c,c,-,-,c,c,c,c,-,-,-,-,-,-,a,a,a,-,a,a,-,a,-,-
Arc.ARAUCANIAN.MAPUDUNGUN_2,d,-,c,c,c,c,-,-,c,c,c,c,-,-,-,-,-,-,a,a,a,-,a,a,-,a,-,-
Arc.ARAUCANIAN.MAPUDUNGUN_3,d,-,c,c,c,c,-,-,c,c,c,c,-,-,-,-,-,-,a,a,a,-,a,a,-,a,-,-
Car.CARIBAN.MAQUIRITARI,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,a,c,c,c,a,a,a
WD.WAGAYDY.MARANUNGGU,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
IE.INDIC.MARATHI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
IE.INDIC.MARATHI_2,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
AA.BIU_MANDARA.MARGI,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
MZ.MIXE_ZOQUE.MARIA_CHIMALAPA,b,a,a,a,a,a,a,c,c,c,c,c,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Hok.YUMAN.MARICOPA,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
ST.BODIC.MARPHATAN_THAKALI,a,-,a,a,a,b,-,-,a,a,a,b,-,-,-,-,-,-,a,a,b,-,a,b,-,b,-,-
ST.BURMESE_LOLO.MARU,a,a,a,b,a,b,b,a,a,b,a,b,b,a,b,a,b,b,b,a,b,b,c,d,d,b,b,d
Mab.MABAN.MASALIT,a,-,b,b,-,b,a,-,b,b,-,b,a,-,-,-,-,-,d,-,d,c,-,d,c,-,-,c
AA.MASA.MASANA,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
AA.MASA.MASANA_POGO,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
Tu.TU.MASARWA_KAKIA,b,-,a,b,b,b,a,-,c,d,d,d,c,-,-,-,-,-,b,b,b,a,d,d,c,d,c,c
Mat.MATACOAN.MATACO,b,b,a,b,b,a,a,d,c,d,d,c,c,c,d,d,c,c,b,b,a,a,d,c,c,c,c,a
Man.WESTERN_MANDE.MAUKAKAN,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
An.OCEANIC.MAUTUTU,b,b,b,b,b,-,-,d,d,d,d,-,-,d,d,d,-,-,d,d,-,-,d,-,-,-,-,-
Iwa.IWAIDJAN.MAWNG,b,b,a,a,a,a,a,d,c,c,c,c,c,c,c,c,c,c,a,a,a,a,a,a,a,a,a,a
NC.UBANGI.MAYOGO,b,b,b,a,b,b,a,d,d,c,d,d,c,d,c,d,d,c,c,d,d,c,b,b,a,d,c,c
An.ATAYALIC.MAYRINAX_ATAYAL,d,d,d,-,d,c,-,d,d,-,d,c,-,d,-,d,c,-,-,d,c,-,-,-,-,c,-,-
AA.BIU_MANDARA.MBARA,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
CSu.BONGO_BAGIRMI.MBAY,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.MBEDE,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
NC.BANTOID.MBEDE_2,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
NC.BANTOID.MBOSHI,b,-,b,b,b,b,-,-,d,d,d,d,-,-,-,-,-,-,d,d,d,-,d,d,-,d,-,-
NC.BANTOID.MBOSHI_BUNJI,b,-,b,b,b,b,-,-,d,d,d,d,-,-,-,-,-,-,d,d,d,-,d,d,-,d,-,-
NC.BANTOID.MBOSHI_NGOLO,b,-,b,b,b,b,-,-,d,d,d,d,-,-,-,-,-,-,d,d,d,-,d,d,-,d,-,-
NC.BANTOID.MBOSHI_OLEE,b,-,b,b,b,b,-,-,d,d,d,d,-,-,-,-,-,-,d,d,d,-,d,d,-,d,-,-
An.OCEANIC.MBULA_PAPUA_NEW_GUINEA,b,b,-,b,b,-,a,d,-,d,d,-,c,-,d,d,-,c,-,-,-,-,d,-,c,-,c,-
NC.ADAMAWA.MBUM,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
ESu.SURMIC.MEEN,b,-,b,b,-,b,a,-,d,d,-,d,c,-,-,-,-,-,d,-,d,c,-,d,c,-,-,c
Ijo.IJOID.MEIN,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
ST.KUKI_CHIN.MEITEI,a,a,a,-,b,b,b,a,a,-,b,b,b,a,-,b,b,b,-,b,b,b,-,-,-,d,d,d
Tup.TUPARI.MEKENS,a,a,a,b,a,-,-,a,a,b,a,-,-,a,b,a,-,-,b,a,-,-,c,-,-,-,-,-
An.OCEANIC.MELE,b,-,-,b,b,b,a,-,-,d,d,d,c,-,-,-,-,-,-,-,-,-,d,d,c,d,c,c
Man.WESTERN_MANDE.MENDE,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
TNG.ANGAN.MENYA,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
TNG.ANGAN.MENYA_2,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
OM.SUBTIABA_TLAPANEC.MEPHAA_ACATEPEC,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
ESu.SURMIC.MESENGO,d,c,d,c,d,d,c,c,d,c,d,d,c,b,a,b,b,a,c,d,d,c,b,b,a,d,c,c
ST.MAHAKIRANTI.MEWA_KHOLA_LIMBU,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
EBH.EAST_BIRDS_HEAD.MEYAH,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
TNG.OK.MIAN,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
MZ.MIXE_ZOQUE.MIGUEL_CHIMALAPA,b,a,a,a,a,a,a,c,c,c,c,c,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
NDa.LEZGIC.MIKRAKH_LEZGI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
An.MALAYO_SUMBAWAN.MINANGKABAU,-,-,-,-,-,-,-,-,-,-,-,-,-,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
An.OCEANIC.MINAVEHA,a,a,a,b,-,b,-,a,a,b,-,b,-,a,b,-,b,-,b,-,b,-,-,d,-,-,-,-
IE.IRANIAN.MIRAN_SHAH_PASHTO,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
Kad.KADUGLI.MIRI,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
Alt.TURKIC.MISHER_TATAR,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
ST.TANI.MISING,a,a,a,a,a,b,b,a,a,a,a,b,b,a,a,a,b,b,a,a,b,b,a,b,b,b,b,d
Mis.MISUMALPAN.MISKITO,a,a,a,b,a,a,-,a,a,b,a,a,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
OM.MIXTECAN.MIXTECO_DE_YOSONDUA,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
OM.MIXTECAN.MIXTEC_PENYOLES,d,d,d,d,-,c,c,d,d,d,-,c,c,d,d,-,c,c,d,-,c,c,-,c,c,-,-,a
AA.WEST_CHADIC.MIYA,-,-,-,-,-,-,-,d,d,d,c,d,c,d,d,c,d,c,d,c,d,c,c,d,c,b,a,c
CSu.MORU_MAADI.MIZA,-,a,b,b,b,b,a,-,-,-,-,-,-,b,b,b,b,a,d,d,d,c,d,d,c,d,c,c
AuA.PALAUNG_KHMUIC.MLABRI,b,b,a,b,b,-,-,d,c,d,d,-,-,c,d,d,-,-,b,b,-,-,d,-,-,-,-,-
CSu.BONGO_BAGIRMI.MODO,b,b,b,b,b,-,a,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
AA.BIU_MANDARA.MOFU_GUDUR,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.MOKILESE,-,-,-,-,-,-,-,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
NDa.AVAR_ANDIC_TSEZIC.MOKOK_TSEZ,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
AuA.MONIC.MON,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
NC.BANTOID.MONGO,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Alt.MONGOLIC.MONGOLIAN,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Sen.SENAGI.MONGOWAR,a,a,a,-,a,b,-,a,a,-,a,b,-,a,-,a,b,-,-,a,b,-,-,-,-,b,-,-
NC.BANTOID.MONGO_LOSAKANI_NTOMBA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.MONGO_OPALA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Alt.MONGOLIC.MONGUOR,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
AuA.MONIC.MON_2,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
AuA.MONIC.MON_NONG_DUU,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
An.OCEANIC.MOORIORI,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.MOR,b,b,a,b,b,b,-,d,c,d,d,d,-,c,d,d,d,-,b,b,b,-,d,d,-,d,-,-
An.SAMA_BAJAW.MORAMO_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
Krd.HEIBAN.MORO,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
AA.SEMITIC.MOROCCAN_ARABIC,d,d,d,d,c,c,c,d,d,d,c,c,c,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
AA.SEMITIC.MOROCCAN_ARABIC_2,d,d,d,d,c,c,c,d,d,d,c,c,c,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
An.OCEANIC.MOTLAV,b,-,-,b,b,b,a,-,-,d,d,d,c,-,-,-,-,-,-,-,-,-,d,d,c,d,c,c
EB.EAST_BOUGAINVILLE.MOTUNA,a,-,a,b,a,b,a,-,a,b,a,b,a,-,-,-,-,-,b,a,b,a,c,d,c,b,a,c
NC.BANTOID.MOUNDA_DIBOLE,b,b,-,b,-,b,a,d,-,d,-,d,c,-,d,-,d,c,-,-,-,-,-,d,c,-,-,c
TNG.KOIARIAN.MOUNTAIN_KOIARI,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
TNG.KOIARIAN.MOUNTAIN_KOIARI_2,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
NC.BANTOID.MPONDO,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
NC.BANTOID.MPONDOMISE,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
WP.KEBAR.MPUR,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
Tor.KOMBIO_ARAPESH.MUFIAN,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
NDa.LAK_DARGWA.MUIRI_DARGI,a,a,a,a,-,a,b,a,a,a,-,a,b,a,a,-,a,b,a,-,a,b,-,a,b,-,-,b
An.CELEBIC.MUNA,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
NC.ADAMAWA.MUNDANG,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AuA.MUNDA.MUNDARI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
AuA.MUNDA.MUNDARI_2,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
AA.BIU_MANDARA.MUNJUK,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AA.WEST_CHADIC.MUPUN,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
ESu.SURMIC.MURLE,d,-,d,d,d,d,c,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
ESu.SURMIC.MURSI,b,-,b,b,-,b,a,-,d,d,-,d,c,-,-,-,-,-,d,-,d,c,-,d,c,-,-,c
Brs.BURUSHASKI.MURTAZABAD_HUNZA_BURUSHASKI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
AA.BIU_MANDARA.MUSGU_B,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AA.BIU_MANDARA.MUSGU_D_PLUS_RD,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AA.BIU_MANDARA.MUSGU_K,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AA.BIU_MANDARA.MUSGU_O,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AA.BIU_MANDARA.MUSGU_R,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.MUSOM,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
An.OCEANIC.MUSOM_2,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
Sal.CENTRAL_SALISH.MUSQUEAM,d,d,d,c,c,c,-,d,d,c,c,c,-,d,c,c,c,-,c,c,c,-,a,a,-,a,-,-
An.OCEANIC.MUSSAU_EMIRA,b,b,b,a,b,a,a,d,d,c,d,c,c,d,c,d,c,c,c,d,c,c,b,a,a,c,c,a
AA.WEST_CHADIC.MWAGHAVUL,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.MWINI,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.MWINI_2,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
TNG.FINISTERRE_HUON.NABAK,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
IE.INDIC.NAGAR_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
ST.KUKI_CHIN.NAGA_AO,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
ST.NORTHERN_NAGA.NAGA_CHANG,a,a,a,-,a,b,-,a,a,-,a,b,-,a,-,a,b,-,-,a,b,-,-,-,-,b,-,-
ST.KUKI_CHIN.NAGA_LOTHA,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
ST.KUKI_CHIN.NAGA_MAO,a,-,a,b,-,b,b,-,a,b,-,b,b,-,-,-,-,-,b,-,b,b,-,d,d,-,-,d
ST.NORTHERN_NAGA.NAGA_NOCTE,a,a,a,b,a,-,b,a,a,b,a,-,b,a,b,a,-,b,b,a,-,b,c,-,d,-,b,-
ST.KUKI_CHIN.NAGA_SUMI,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
ST.KUKI_CHIN.NAGA_TANGKHUL,a,-,a,b,b,b,b,-,a,b,b,b,b,-,-,-,-,-,b,b,b,b,d,d,d,d,d,d
ST.KUKI_CHIN.NAGA_ZEME,a,a,-,b,a,b,-,a,-,b,a,b,-,-,b,a,b,-,-,-,-,-,c,d,-,b,-,-
UA.AZTECAN.NAHUATL_POMARO_AQUILA,d,d,-,d,c,c,c,d,-,d,c,c,c,-,d,c,c,c,-,-,-,-,c,c,c,a,a,a
An.OCEANIC.NAKANAI,b,b,b,b,b,-,-,d,d,d,d,-,-,d,d,d,-,-,d,d,-,-,d,-,-,-,-,-
An.OCEANIC.NAKANAI_2,b,b,b,b,b,-,-,d,d,d,d,-,-,d,d,d,-,-,d,d,-,-,d,-,-,-,-,-
An.OCEANIC.NALIK,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
KK.KHOE_KWADI.NAMA,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
KK.KHOE_KWADI.NAMA_2,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Sep.YELLOW_RIVER.NAMIA,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
TNG.FASU.NAMUMI,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
AuA.NICOBARESE.NANCAWRI,d,d,d,d,c,-,-,d,d,d,c,-,-,d,d,c,-,-,d,c,-,-,c,-,-,-,-,-
ESu.NILOTIC.NANDI,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
ESu.NILOTIC.NANDI_2,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
ST.BURMESE_LOLO.NANJIANG,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
TNG.FINISTERRE_HUON.NANKINA,a,a,a,b,-,b,-,a,a,b,-,b,-,a,b,-,b,-,b,-,b,-,-,d,-,-,-,-
An.OCEANIC.NANUMEA,c,d,d,d,d,c,c,b,b,b,b,a,a,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
ESu.NARA.NARA,a,a,a,b,b,-,a,a,a,b,b,-,a,a,b,b,-,a,b,b,-,a,d,-,c,-,c,-
NDe.ATHAPASKAN.NAVAHO,a,a,a,b,a,a,-,a,a,b,a,a,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
NDe.ATHAPASKAN.NAVAJO,a,a,a,b,a,a,-,a,a,b,a,a,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
IE.INDIC.NAWAR_ZUTT,d,d,c,c,c,c,c,d,c,c,c,c,c,c,c,c,c,c,a,a,a,a,a,a,a,a,a,a
Brs.BURUSHASKI.NAZIMABAD_HUNZA_BURUSHASKI,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
NC.BANTOID.NDONGA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.NDONGA_2,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.NDOUBA,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
SoP.BILUA.NDOVELE_BILUA,-,-,-,-,-,-,-,c,c,c,c,c,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
NC.BANTOID.NDUMU,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
NC.BANTOID.NDUMU_2,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
NC.UBANGI.NDUNGA,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
NC.NORTHERN_ATLANTIC.NDUT_FALOR,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.NDUUMO,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
An.OCEANIC.NEHAN,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Ura.SAMOYEDIC.NENETS,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
AA.SEMITIC.NEO_ARAMAIC,a,b,b,b,a,a,a,b,b,b,a,a,a,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
NC.KRU.NEYO,-,-,a,b,b,b,a,-,-,-,-,-,-,-,-,-,-,-,b,b,b,a,d,d,c,d,c,c
Pen.MAIDUAN.NE_MAIDU,a,-,a,a,a,-,b,-,a,a,a,-,b,-,-,-,-,-,a,a,-,b,a,-,b,-,b,-
PN.WESTERN_PAMA_NYUNGAN.NGAANYATJARRA,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
Chi.GUAYMIIC.NGABERE_MOVE,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
CSu.BONGO_BAGIRMI.NGAMBAY,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Wor.WORRORRAN.NGARINYIN,a,a,-,b,b,b,a,a,-,b,b,b,a,-,b,b,b,a,-,-,-,-,d,d,c,d,c,c
NC.BANTOID.NGELEMA_1,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
NC.BANTOID.NGELEMA_2,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
NC.BANTOID.NGELIMA,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
An.OCEANIC.NGGELA,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
CSu.LENDU.NGITI,-,a,a,a,a,a,-,-,-,-,-,-,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
AA.WEST_CHADIC.NGIZIM,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
WP.NORTH_HALMAHERAN.NGOFABOBAWA,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.NGOFAGITA,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.NGOFAKIAHA,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
NC.BANTOID.NGONI,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.NGONI_2,b,b,b,b,-,-,a,d,d,d,-,-,c,d,d,-,-,c,d,-,-,c,-,-,c,-,-,-
NC.BANTOID.NGONI_MALAWI,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.NGUMBO_TAABWA,b,b,b,b,-,b,-,d,d,d,-,d,-,d,d,-,d,-,d,-,d,-,-,d,-,-,-,-
ESu.NILOTIC.NGYEPU,b,b,b,b,a,b,a,d,d,d,c,d,c,d,d,c,d,c,d,c,d,c,c,d,c,b,a,c
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.NIAS_NORTHERN,d,d,d,d,d,-,c,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
An.NORTHWEST_SUMATRA_BARRIER_ISLANDS.NIAS_SOUTHERN,d,d,d,d,d,-,c,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
Yan.YANOMAM.NINAM,a,a,a,b,a,a,-,a,a,b,a,a,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
